Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10
1,2,2,5,11,13,16,17,17,16
4,4,5,12,12,12,2,3,23,23
1,1,7,1,18,20,2,23,25,2
0,1,2,3,4,5,10,15,20,40
1,1,1,1,1,6,13,19,25,32
1,1,1,9,11,14,17,18,15,13
3,3,5,5,3,16,17,16,16,16
1,1,1,8,10,14,17,19,16,13
1,2,0,0,0,0,0,32,32,33
4,0,5,0,2,2,18,30,20,19
1,2,2,2,18,17,16,15,14,13
0,0,0,16,21,1,2,1,35,24
1,1,1,22,3,22,3,22,3,22
2,3,4,6,10,13,14,19,15,14
1,2,3,6,9,14,16,17,16,16
3,3,5,6,8,14,15,16,18,12
1,1,1,2,3,5,8,14,25,40
0,0,0,1,18,21,0,22,36,2
1,1,1,1,1,8,14,19,26,28
0,5,7,9,11,13,0,0,23,32
5,3,4,2,5,18,20,19,21,3
1,0,1,6,22,12,8,14,6,30
1,1,1,1,1,15,17,19,21,23
1,1,3,5,7,9,13,16,20,25
3,4,4,14,20,3,21,3,25,3
2,2,2,2,2,10,14,16,24,26
1,1,5,16,19,1,1,1,31,24
4,2,5,10,10,17,16,16,4,16
2,2,6,5,5,20,10,25,24,1
1,1,4,4,10,12,14,16,18,20
0,0,0,0,11,4,0,15,35,35
0,1,10,19,2,22,2,4,20,20
2,5,5,9,11,10,26,28,2,2
1,1,1,2,1,15,21,26,31,1
4,5,3,1,6,25,36,2,9,9
2,2,9,12,14,16,2,2,2,39
1,4,5,5,5,10,10,20,20,20
0,2,2,3,15,15,15,15,18,15
1,1,1,2,8,10,20,25,30,2
1,4,0,0,0,0,27,0,34,34
1,1,1,1,1,14,17,19,21,24
1,0,0,0,0,0,24,25,25,25
